iata,latitude,longitude
GKA,-6.081690,145.391998
MAG,-5.207080,145.789001
HGU,-5.826790,144.296005
LAE,-6.569803,146.725977
POM,-9.443380,147.220001
WWK,-3.583830,143.669006
UAK,61.160500,-45.425999
GOH,64.190903,-51.678101
SFJ,67.012222,-50.711603
THU,76.531197,-68.703201
AEY,65.660004,-18.072701
EGS,65.283302,-14.401400
HFN,64.295601,-15.227200
HZK,65.952301,-17.426001
IFJ,66.058098,-23.135300
KEF,63.985001,-22.605600
PFJ,65.555801,-23.965000
RKV,64.129997,-21.940599
SIJ,66.133301,-18.916700
VEY,63.424301,-20.278900
YAM,46.485001,-84.509399
YAY,51.391899,-56.083099
YAZ,49.079833,-125.775583
YBB,68.534401,-89.808098
YBC,49.132500,-68.204399
YBG,48.330601,-70.996399
YBK,64.298897,-96.077797
YBL,49.950802,-125.271004
YBR,49.910000,-99.951897
YCB,69.108101,-105.138000
YCD,49.054970,-123.869863
YCG,49.296398,-117.632004
YCH,47.007801,-65.449203
YCL,47.990799,-66.330299
YCO,67.816704,-115.143997
YCT,52.075001,-111.445000
YCW,49.152802,-121.939003
YCY,70.486099,-68.516701
YZS,64.193298,-83.359398
YDA,64.043098,-139.128006
YDB,61.371101,-139.041000
YDF,49.210800,-57.391399
YDL,58.422199,-130.031998
YDN,51.100800,-100.052002
YDQ,55.742298,-120.182999
YEG,53.309700,-113.580002
YEK,61.094200,-94.070801
YEN,49.210300,-102.966003
YET,53.578899,-116.464996
YEU,79.994698,-85.814201
YEV,68.304199,-133.483002
YFB,63.756402,-68.555801
YFC,45.868900,-66.537201
YFE,48.746101,-69.097198
YFO,54.678101,-101.681999
YFR,61.180801,-113.690002
YFS,61.760201,-121.237000
YGK,44.225300,-76.596901
YGL,53.625301,-77.704201
YGP,48.775299,-64.478600
YGQ,49.778301,-86.939400
YGR,47.424702,-61.778099
YHB,52.816700,-102.310997
YHD,49.831699,-92.744202
YHI,70.762802,-117.806000
YHK,68.635597,-95.849701
YHM,43.173599,-79.934998
YHU,45.517502,-73.416901
YHY,60.839699,-115.782997
YHZ,44.880798,-63.508598
YIB,48.773899,-91.638603
YIO,72.683296,-77.966698
YJN,45.294399,-73.281097
YJT,48.544201,-58.549999
YKA,50.702202,-120.444000
YKF,43.460800,-80.378601
YKL,54.805302,-66.805298
YKY,51.517502,-109.181000
YKZ,43.862202,-79.370003
YLD,47.820000,-83.346703
YLJ,54.125301,-108.523003
YLL,53.309200,-110.072998
YLT,82.517799,-62.280602
YLW,49.956100,-119.377998
YMA,63.616402,-135.867996
YMJ,50.330299,-105.558998
YMM,56.653301,-111.222000
YMO,51.291100,-80.607803
YMW,46.272800,-75.990601
YMX,45.679501,-74.038696
YNA,50.189999,-61.789200
YND,45.521702,-75.563599
YNM,49.761700,-77.802803
YOC,67.570602,-139.839005
YOD,54.404999,-110.278999
YOJ,58.621399,-117.165001
YOW,45.322498,-75.669197
YPA,53.214199,-105.672997
YPE,56.226898,-117.446999
YPG,49.903099,-98.273817
YPL,51.446400,-90.214203
YPN,49.836399,-64.288597
YPQ,44.230000,-78.363297
YPR,54.286098,-130.445007
YPY,58.767200,-111.116997
YQA,44.974701,-79.303299
YQB,46.791100,-71.393303
YQF,52.182201,-113.893997
YQG,42.275600,-82.955597
YQH,60.116402,-128.822006
YQK,49.788300,-94.363098
YQL,49.630299,-112.800003
YQM,46.112202,-64.678596
YQQ,49.710800,-124.887001
YQR,50.431900,-104.666000
YQT,48.371899,-89.323898
YQU,55.179699,-118.885002
YQV,51.264702,-102.461998
YQW,52.769199,-108.244003
YQX,48.936901,-54.568100
YQY,46.161400,-60.047798
YQZ,53.026100,-122.510002
YRB,74.716904,-94.969398
YRI,47.764400,-69.584702
YRJ,48.520000,-72.265602
YRM,52.429699,-114.903999
YRT,62.811401,-92.115799
YSB,46.625000,-80.798897
YSC,45.438599,-71.691399
YSJ,45.316101,-65.890297
YSM,60.020302,-111.961998
YSR,72.982201,-84.613602
YSU,46.440601,-63.833599
YSY,71.993896,-125.242996
YTE,64.230003,-76.526703
YTH,55.801102,-97.864197
YTR,44.118900,-77.528099
YTS,48.569698,-81.376701
YTZ,43.627499,-79.396202
YUB,69.433296,-133.026001
YUL,45.470600,-73.740799
YUT,66.521400,-86.224701
YUX,68.776100,-81.242500
YUY,48.206100,-78.835602
YVC,55.151402,-105.262001
YVG,53.355801,-110.823997
YVM,67.545799,-64.031403
YVO,48.053299,-77.782799
YVP,58.096100,-68.426903
YVQ,65.281601,-126.797997
YVR,49.193901,-123.183998
YVT,55.841900,-108.417999
YVV,44.745800,-81.107201
YWA,45.952202,-77.319199
YWG,49.910000,-97.239899
YWK,52.921902,-66.864403
YWL,52.183102,-122.054001
YWY,63.209400,-123.436996
YXC,49.610802,-115.781998
YXD,53.572498,-113.521004
YXE,52.170799,-106.699997
YXH,50.018902,-110.721001
YXJ,56.238098,-120.739998
YXL,50.113899,-91.905296
YXP,66.144997,-65.713600
YXR,47.697401,-79.847345
YXS,53.889400,-122.679001
YXT,54.468498,-128.576009
YXU,43.035599,-81.153900
YXX,49.025299,-122.361000
YXY,60.709599,-135.067001
YYB,46.363602,-79.422798
YYC,51.113899,-114.019997
YYD,54.824699,-127.182999
YYE,58.836399,-122.597000
YYF,49.463100,-119.601997
YYG,46.290001,-63.121101
YYH,69.546700,-93.576698
YYJ,48.646900,-123.426003
YYL,56.863899,-101.075996
YYN,50.291901,-107.691002
YYQ,58.739201,-94.065002
YYR,53.319199,-60.425800
YYT,47.618599,-52.751900
YYU,49.413898,-82.467499
YYW,50.290298,-88.909698
YYY,48.608601,-68.208099
YYZ,43.677200,-79.630600
YZD,43.742500,-79.465599
YZE,45.885300,-82.567802
YZF,62.462799,-114.440002
YZH,55.293098,-114.777000
YZP,53.254299,-131.813995
YZR,42.999401,-82.308899
YZT,50.680599,-127.366997
YZU,54.143902,-115.787003
YZV,50.223301,-66.265602
YZW,60.172798,-132.742996
YZX,44.984402,-64.916901
ZFA,62.207500,-133.376007
ZFM,67.407501,-134.860992
QLD,36.503601,2.814170
BUJ,35.332500,4.206390
BJA,36.712002,5.069920
ALG,36.691002,3.215410
DJG,24.292801,9.452440
VVZ,26.723499,8.622650
TMR,22.811501,5.451080
GJL,36.795101,5.873610
MZW,33.535900,-0.242353
AAE,36.822201,7.809174
CZL,36.276001,6.620390
TEE,35.431599,8.120720
HRM,32.930401,3.311540
TID,35.341099,1.463150
TIN,27.700399,-8.167100
CFK,36.212700,1.331770
TAF,35.542400,-0.532278
TLM,35.016701,-1.450000
ORN,35.623901,-0.621183
BFW,35.171799,-0.593275
MUW,35.207699,0.147142
AZR,27.837601,-0.186414
BSK,34.793301,5.738230
ELG,30.571301,2.859590
GHA,32.384102,3.794110
HME,31.673000,6.140440
INZ,27.250999,2.512020
TGR,33.067799,6.088670
LOO,33.764400,2.928340
TMX,29.237101,0.276033
OGX,31.917200,5.412780
IAM,28.051500,9.642910
COO,6.357230,2.384350
OUA,12.353200,-1.512420
BOY,11.160100,-4.330970
ACC,5.605190,-0.166786
TML,9.557190,-0.863214
NYI,7.361830,-2.328760
TKD,4.896060,-1.774760
ABJ,5.261390,-3.926290
BYK,7.738800,-5.073670
DJO,6.792810,-6.473190
HGO,9.387180,-5.556660
MJC,7.272070,-7.587360
SPY,4.746720,-6.660820
ASK,6.903170,-5.365580
ABV,9.006790,7.263170
AKR,7.246740,5.301010
BNI,6.316980,5.599500
CBQ,4.976020,8.347200
ENU,6.474270,7.561960
IBA,7.362460,3.978330
ILR,8.440210,4.493920
JOS,9.639830,8.869050
KAD,10.696000,7.320110
KAN,12.047600,8.524620
MIU,11.855300,13.080900
MDI,7.703880,8.613940
LOS,6.577370,3.321160
MXJ,9.652170,6.462260
PHC,5.015490,6.949590
SKO,12.916300,5.207190
YOL,9.257550,12.430400
ZAR,11.130200,7.685810
MFQ,13.502500,7.126750
NIM,13.481500,2.183610
THZ,14.875700,5.265360
AJY,16.966000,8.000110
ZND,13.779000,8.983760
MIR,35.758099,10.754700
TUN,36.851002,10.227200
GAF,34.422001,8.822500
GAE,33.876900,10.103300
DJE,33.875000,10.775500
EBM,31.704300,9.254620
SFA,34.717999,10.691000
TOE,33.939701,8.110560
LRL,9.767330,1.091250
LFW,6.165610,1.254510
ANR,51.189400,4.460280
BRU,50.901402,4.484440
CRL,50.459202,4.453820
KJK,50.817200,3.204720
LGG,50.637402,5.443220
OST,51.198898,2.862220
