origin_iata,destination_iata,distance_km,est_duration_min,optional_price,source
AAE,ALG,409.468,64.961,,openflights
AAE,ORY,1394.657,137.048,,openflights
AAL,OSL,343.820,60.158,,openflights
AAR,AGP,2457.743,214.835,,openflights
AAR,OSL,425.624,66.143,,openflights
AAR,PMI,1949.656,177.658,,openflights
ABJ,LFW,581.960,77.582,,openflights
ABQ,DEN,562.663,76.170,,openflights
ABQ,SEA,1897.321,173.828,,openflights
ABV,ADD,3462.459,288.351,,openflights
ABV,ENU,283.521,55.745,,openflights
ABV,QRW,411.384,65.101,,openflights
ABZ,MME,303.225,57.187,,openflights
ABZ,SYY,270.110,54.764,,openflights
ACC,BEY,4829.519,388.379,,openflights
ACC,COO,294.259,56.531,,openflights
ACC,LHR,5100.074,408.176,,openflights
ACC,MAD,3891.795,319.765,,openflights
ACC,TML,446.094,67.641,,openflights
ACE,BLK,2890.997,246.536,,openflights
ACE,CGN,2989.899,253.773,,openflights
ACE,EIN,2957.129,251.375,,openflights
ACE,HAJ,3239.285,272.021,,openflights
ACE,HAM,3345.824,279.816,,openflights
ACE,HHN,2922.508,248.842,,openflights
ACE,LUX,2843.610,243.069,,openflights
ACE,MUC,3058.006,258.757,,openflights
ACE,NCL,3054.037,258.466,,openflights
ACE,NRN,3004.260,254.824,,openflights
ACE,SXF,3427.380,285.784,,openflights
ACH,VIE,527.941,73.630,,openflights
ACY,DTW,798.861,93.453,,openflights
ADA,SAW,675.239,84.408,,openflights
ADB,ATH,283.807,55.766,,openflights
ADB,FRA,1965.596,178.824,,openflights
ADB,MQM,1189.459,122.034,,openflights
ADD,AXU,574.764,77.056,,openflights
ADD,BOM,3834.695,315.587,,openflights
ADD,CDG,5580.726,443.346,,openflights
ADD,COO,4021.901,329.285,,openflights
ADD,FRA,5348.752,426.372,,openflights
ADD,GDQ,421.140,65.815,,openflights
ADD,HRE,3109.583,262.530,,openflights
ADD,KRT,1000.213,108.186,,openflights
ADD,MCT,2633.141,227.669,,openflights
ADD,MPM,3938.541,323.186,,openflights
ADD,PVG,8830.820,681.158,,openflights
ADD,SSG,3373.955,281.875,,openflights
ADE,MGQ,1202.963,123.022,,openflights
ADL,DRW,2621.305,226.803,,openflights
ADL,DXB,11006.461,840.351,,openflights
ADL,KGC,125.318,44.170,,openflights
ADL,OOL,1604.186,152.379,,openflights
ADQ,KLN,91.488,41.694,,openflights
ADZ,BAQ,777.622,91.899,,openflights
AEB,CAN,647.102,82.349,,openflights
AEP,BRC,1335.253,132.701,,openflights
AEP,CWB,1340.011,133.050,,openflights
AEP,LUQ,746.350,89.611,,openflights
AEP,PMY,1080.131,114.034,,openflights
AEP,SCL,1147.276,118.947,,openflights
AER,EVN,519.734,73.029,,openflights
AES,ALC,2737.618,235.313,,openflights
AES,RIX,1174.563,120.944,,openflights
AFA,LUQ,238.879,52.479,,openflights
AGA,AMS,2704.907,232.920,,openflights
AGA,CMN,379.595,62.775,,openflights
AGA,LGW,2437.794,213.375,,openflights
AGA,LIL,2478.723,216.370,,openflights
AGA,LUX,2513.737,218.932,,openflights
AGA,ORY,2275.953,201.533,,openflights
AGA,SXF,3083.177,260.598,,openflights
AGP,AAL,2506.843,218.428,,openflights
AGP,BIO,749.083,89.811,,openflights
AGP,BRE,2092.531,188.112,,openflights
AGP,BTS,2180.632,194.558,,openflights
AGP,BUD,2283.608,202.093,,openflights
AGP,EMA,1813.398,167.688,,openflights
AGP,HAJ,2075.868,186.893,,openflights
AGP,HEL,3352.638,280.315,,openflights
AGP,NTE,1189.162,122.012,,openflights
AGP,NUE,1898.581,173.921,,openflights
AGP,STN,1731.824,161.719,,openflights
AGP,SVO,3781.209,311.674,,openflights
AGS,CLT,225.500,51.500,,openflights
AGT,ASU,270.095,54.763,,openflights
AGU,LAX,2081.806,187.327,,openflights
AGU,TIJ,1881.677,172.684,,openflights
AHB,MED,765.506,91.013,,openflights
AHB,SAH,349.468,60.571,,openflights
AHO,BLL,1681.134,158.010,,openflights
AHU,CMN,399.019,64.197,,openflights
AJA,CDG,926.170,102.769,,openflights
AJA,GVA,525.718,73.467,,openflights
AJA,MPL,435.734,66.883,,openflights
AJU,MCZ,215.422,50.763,,openflights
AJU,SSA,253.680,53.562,,openflights
AKL,APW,2890.997,246.536,,openflights
AKL,BKK,9555.379,734.174,,openflights
AKL,KAT,254.556,53.626,,openflights
AKL,KUL,8703.353,671.831,,openflights
AKL,WAG,329.106,59.081,,openflights
AKL,WRE,143.060,45.468,,openflights
AKN,WSN,20.954,36.533,,openflights
ALA,AKX,1686.024,158.368,,openflights
ALA,DMB,468.951,69.313,,openflights
ALA,GYD,2246.648,199.389,,openflights
ALA,ICN,4172.396,340.297,,openflights
ALA,IKA,2381.355,209.246,,openflights
ALA,KUF,2262.052,200.516,,openflights
ALA,PLX,815.089,94.641,,openflights
ALA,TBS,2620.416,226.738,,openflights
ALA,TSE,950.542,104.552,,openflights
ALA,UKK,851.203,97.283,,openflights
ALA,URC,841.453,96.570,,openflights
ALB,CLE,680.344,84.781,,openflights
ALB,IAD,522.729,73.248,,openflights
ALB,LAS,3591.516,297.794,,openflights
ALC,BFS,1870.186,171.843,,openflights
ALC,BHX,1578.503,150.500,,openflights
ALC,BLQ,1206.173,123.257,,openflights
ALC,BOH,1393.358,136.953,,openflights
ALC,BVA,1260.389,127.224,,openflights
ALC,CPH,2164.540,193.381,,openflights
ALC,DME,3424.929,285.605,,openflights
ALC,FCO,1156.117,119.594,,openflights
ALC,HEL,3029.944,256.703,,openflights
ALC,KRK,2074.304,186.778,,openflights
ALC,LTN,1511.489,145.597,,openflights
ALC,PIK,1939.064,176.883,,openflights
ALC,RYG,2480.411,216.493,,openflights
ALC,SOU,1410.023,138.172,,openflights
ALC,TRD,2902.757,247.397,,openflights
ALC,UME,3155.490,265.890,,openflights
ALC,ZRH,1260.382,127.223,,openflights
ALG,BEY,2933.849,249.672,,openflights
ALG,FRA,1544.441,148.008,,openflights
ALG,IST,2256.523,200.111,,openflights
ALG,LIS,1109.794,116.204,,openflights
ALG,MUW,321.667,58.537,,openflights
ALG,MXP,1095.259,115.141,,openflights
ALG,NIM,2582.822,223.987,,openflights
ALG,PMI,320.814,58.474,,openflights
ALG,TLM,459.772,68.642,,openflights
ALG,TLS,787.303,92.608,,openflights
ALO,ORD,375.417,62.470,,openflights
AMA,DFW,501.525,71.697,,openflights
AMD,MAA,1374.951,135.606,,openflights
AMM,BAH,1545.755,148.104,,openflights
AMM,BGW,791.450,92.911,,openflights
AMM,CDG,3381.239,282.408,,openflights
AMM,DWC,2020.420,182.836,,openflights
AMM,OSM,832.947,95.947,,openflights
AMM,SAH,1989.595,180.580,,openflights
AMS,AMM,3401.996,283.927,,openflights
AMS,ASR,2795.433,239.544,,openflights
AMS,BCN,1241.136,125.815,,openflights
AMS,BKK,9207.552,708.723,,openflights
AMS,BOM,6859.514,536.916,,openflights
AMS,BRE,283.330,55.731,,openflights
AMS,BRI,1538.045,147.540,,openflights
AMS,BRN,631.221,81.187,,openflights
AMS,CDG,398.270,64.142,,openflights
AMS,CPT,9687.087,743.811,,openflights
AMS,DBV,1480.698,143.344,,openflights
AMS,DFW,7900.105,613.056,,openflights
AMS,DMM,4704.767,379.251,,openflights
AMS,DTW,6323.605,497.703,,openflights
AMS,DUB,750.160,89.890,,openflights
AMS,EZE,11462.164,873.695,,openflights
AMS,GVA,681.993,84.902,,openflights
AMS,IST,2183.758,194.787,,openflights
AMS,KBP,1818.648,168.072,,openflights
AMS,LIN,831.082,95.811,,openflights
AMS,LPL,523.869,73.332,,openflights
AMS,NBO,6677.440,523.593,,openflights
AMS,NWI,239.168,52.500,,openflights
AMS,SIN,10513.913,804.311,,openflights
AMS,SKG,1904.808,174.376,,openflights
AMS,SVQ,1852.068,170.517,,openflights
AMS,TBS,3219.955,270.606,,openflights
AMS,TUN,1771.155,164.597,,openflights
AMS,VRN,889.026,100.051,,openflights
AMS,YVR,7707.258,598.946,,openflights
ANC,BET,639.467,81.790,,openflights
ANC,FAI,418.939,65.654,,openflights
ANC,KSM,708.896,86.870,,openflights
ANF,CJC,189.674,48.879,,openflights
ANI,HCR,68.548,40.016,,openflights
ANU,SJU,468.585,69.287,,openflights
ANU,TAB,673.723,84.297,,openflights
ANU,UVF,389.013,63.464,,openflights
ANU,YYZ,3394.398,283.371,,openflights
AOG,PVG,1111.686,116.343,,openflights
AOJ,NKM,692.805,85.693,,openflights
AOO,IAD,167.558,47.260,,openflights
APL,JNB,1678.673,157.830,,openflights
APN,DTW,319.086,58.348,,openflights
AQG,WUH,272.691,54.953,,openflights
ARH,MMK,581.308,77.535,,openflights
ARK,ZNZ,427.987,66.316,,openflights
ARN,ATH,2452.288,214.436,,openflights
ARN,BGO,709.171,86.891,,openflights
ARN,BRU,1287.764,129.227,,openflights
ARN,CHQ,2719.667,234.000,,openflights
ARN,CMN,3467.931,288.751,,openflights
ARN,EVG,326.741,58.908,,openflights
ARN,FLL,7962.132,617.595,,openflights
ARN,HAM,825.504,95.403,,openflights
ARN,KID,472.752,69.592,,openflights
ARN,LCA,2981.656,253.170,,openflights
ARN,LGW,1475.346,142.952,,openflights
ARN,MAN,1415.278,138.557,,openflights
ARN,SVO,1219.764,124.251,,openflights
ARN,TLV,3320.526,277.965,,openflights
ARN,UME,476.804,69.888,,openflights
ASB,URC,2517.713,219.223,,openflights
ASE,LAX,1184.503,121.671,,openflights
ASJ,HND,1235.020,125.367,,openflights
ASJ,ITM,890.253,100.140,,openflights
ASM,JED,710.752,87.006,,openflights
ASP,ADL,1316.762,131.348,,openflights
ASP,CNS,1454.668,141.439,,openflights
ASR,AMS,2795.433,239.544,,openflights
ASU,GRU,1136.680,118.172,,openflights
ASU,LIM,2528.466,220.010,,openflights
ASW,CAI,698.841,86.135,,openflights
ATH,ADB,283.807,55.766,,openflights
ATH,BCN,1904.508,174.354,,openflights
ATH,BEG,822.936,95.215,,openflights
ATH,DME,2206.304,196.437,,openflights
ATH,GVA,1731.286,161.679,,openflights
ATH,IOA,333.823,59.426,,openflights
ATH,JIK,212.939,50.581,,openflights
ATH,JSH,358.566,61.237,,openflights
ATH,LXS,246.963,53.070,,openflights
ATH,OSL,2628.943,227.362,,openflights
ATH,RIX,2111.281,189.484,,openflights
ATH,TIA,529.267,73.727,,openflights
ATH,VCE,1275.957,128.363,,openflights
ATL,ALB,1372.142,135.401,,openflights
ATL,AZO,961.118,105.326,,openflights
ATL,BON,2899.384,247.150,,openflights
ATL,CHO,734.756,88.763,,openflights
ATL,DEN,1926.618,175.972,,openflights
ATL,EWN,696.317,85.950,,openflights
ATL,FLL,936.441,103.520,,openflights
ATL,FWA,819.174,94.940,,openflights
ATL,GRB,1247.534,126.283,,openflights
ATL,ICT,1255.679,126.879,,openflights
ATL,LHR,6760.764,529.690,,openflights
ATL,LIR,2564.836,222.671,,openflights
ATL,LIT,727.160,88.207,,openflights
ATL,MCI,1113.375,116.466,,openflights
ATL,MEI,428.523,66.355,,openflights
ATL,MGA,2396.675,210.366,,openflights
ATL,MLI,1020.041,109.637,,openflights
ATL,PAP,2062.926,185.946,,openflights
ATL,PDX,3489.161,290.304,,openflights
ATL,RIC,773.180,91.574,,openflights
ATL,SGF,904.973,101.218,,openflights
ATL,TTN,1127.894,117.529,,openflights
ATM,ORX,433.209,66.698,,openflights
ATY,MSP,309.771,57.666,,openflights
AUA,LRM,672.005,84.171,,openflights
AUA,MAR,285.485,55.889,,openflights
AUG,BOS,238.448,52.447,,openflights
AUH,ADE,1639.430,154.958,,openflights
AUH,CGK,6574.692,516.075,,openflights
AUH,COK,2795.137,239.522,,openflights
AUH,DEL,2277.385,201.638,,openflights
AUH,DUB,5940.780,469.691,,openflights
AUH,JED,1613.625,153.070,,openflights
AUH,KUL,5588.375,443.905,,openflights
AUH,LCA,2332.872,205.698,,openflights
AUH,MEL,11651.651,887.560,,openflights
AUH,PEK,5954.875,470.723,,openflights
AUH,SIN,5885.751,465.665,,openflights
AUH,TSE,3288.074,275.591,,openflights
AUH,YYZ,11122.330,848.829,,openflights
AUS,BWI,2157.038,192.832,,openflights
AUS,CLT,1659.032,156.393,,openflights
AUS,CUN,1484.307,143.608,,openflights
AUS,DTW,1848.525,170.258,,openflights
AUS,LAS,1751.124,163.131,,openflights
AUS,LAX,1994.348,180.928,,openflights
AUS,MEX,1204.559,123.138,,openflights
AUS,SJC,2371.412,208.518,,openflights
AVP,SFB,1483.282,143.533,,openflights
AXD,ATH,367.764,61.910,,openflights
AXT,ITM,683.696,85.027,,openflights
AYT,BRE,2474.879,216.089,,openflights
AYT,BRS,3082.546,260.552,,openflights
AYT,FMO,2475.731,216.151,,openflights
AYT,IST,517.731,72.883,,openflights
AYT,LEJ,2178.774,194.423,,openflights
AYT,TZX,900.305,100.876,,openflights
AZA,DLH,2226.192,197.892,,openflights
AZO,ATL,961.118,105.326,,openflights
AZO,MSP,684.155,85.060,,openflights
AZR,ALG,1034.892,110.724,,openflights
AZR,CZL,1135.849,118.111,,openflights
AZS,JFK,2407.426,211.153,,openflights
AZS,YUL,2936.875,249.893,,openflights
AZS,YYZ,2866.658,244.755,,openflights
BAH,AMM,1545.755,148.104,,openflights
BAH,MHD,1398.740,137.347,,openflights
BAV,SHE,1135.208,118.064,,openflights
BAV,URC,1885.055,172.931,,openflights
BAV,XIY,688.515,85.379,,openflights
BBI,BOM,1361.684,134.635,,openflights
BBO,ADE,271.517,54.867,,openflights
BCI,LRE,105.736,42.737,,openflights
BCN,ACE,1974.126,179.448,,openflights
BCN,ATH,1904.508,174.354,,openflights
BCN,BGO,2123.203,190.356,,openflights
BCN,BLQ,831.320,95.828,,openflights
BCN,BRI,1226.700,124.759,,openflights
BCN,BRN,759.375,90.564,,openflights
BCN,BSL,822.237,95.164,,openflights
BCN,CIA,876.388,99.126,,openflights
BCN,DBV,1344.587,133.384,,openflights
BCN,DKR,3504.098,291.397,,openflights
BCN,FEZ,1027.728,110.200,,openflights
BCN,FUE,2031.892,183.675,,openflights
BCN,GOA,650.530,82.600,,openflights
BCN,LEI,626.443,80.837,,openflights
BCN,LPL,1388.158,136.573,,openflights
BCN,NAP,1023.608,109.898,,openflights
BCN,OSL,2181.733,194.639,,openflights
BCN,OVD,711.582,87.067,,openflights
BCN,PIK,1653.301,155.973,,openflights
