origin_iata,destination_iata,distance_km,est_duration_min,optional_price,source
YOW,YVR,3551.976,294.901,,openflights
VRN,CGN,668.554,83.919,,openflights
TTN,MCO,1444.930,140.727,,openflights
SLC,IND,2175.074,194.152,,openflights
SZX,ZYI,878.950,99.313,,openflights
ORY,BLJ,1477.628,143.119,,openflights
MUC,LPA,3254.339,273.122,,openflights
BNN,SSJ,56.307,39.120,,openflights
ORD,SJD,2909.171,247.866,,openflights
PVG,ACX,1781.569,165.359,,openflights
CCU,IXR,328.189,59.014,,openflights
YFB,YTE,391.919,63.677,,openflights
SFO,ORD,2963.963,251.875,,openflights
HET,DLC,854.242,97.506,,openflights
BDA,BOS,1243.710,126.003,,openflights
PFO,EDI,3595.984,298.121,,openflights
BWN,MNL,1255.266,126.849,,openflights
OSS,KZN,2392.262,210.044,,openflights
LAX,PEK,10037.129,769.424,,openflights
MBA,KGL,1074.658,113.634,,openflights
DSN,KMG,1726.007,161.293,,openflights
KWL,TNA,1462.539,142.015,,openflights
BKZ,MWZ,174.816,47.791,,openflights
NAN,SVU,227.663,51.658,,openflights
ATL,MEI,428.523,66.355,,openflights
EYP,BOG,206.996,50.146,,openflights
SYX,LZH,656.565,83.041,,openflights
UPG,SOQ,1382.572,136.164,,openflights
HNL,APW,4200.086,342.323,,openflights
ARN,CMN,3467.931,288.751,,openflights
CAN,CIH,1429.519,139.599,,openflights
SHJ,LRR,284.225,55.797,,openflights
MUC,AOK,1912.263,174.922,,openflights
SAT,DFW,397.962,64.119,,openflights
NBX,AMQ,822.926,95.214,,openflights
YYC,DFW,2451.197,214.356,,openflights
AGP,BIO,749.083,89.811,,openflights
CSX,LYI,906.847,101.355,,openflights
IST,IKA,2052.350,185.172,,openflights
RGN,KUL,1688.482,158.547,,openflights
MRV,TLV,1533.797,147.229,,openflights
AUS,MEX,1204.559,123.138,,openflights
ATL,MLI,1020.041,109.637,,openflights
SYD,HKT,7266.839,566.720,,openflights
LGA,PHL,153.595,46.239,,openflights
SAN,STL,2501.172,218.013,,openflights
BRS,IBZ,1427.006,139.415,,openflights
LGW,FLR,1180.378,121.369,,openflights
GEO,YYZ,4630.298,373.802,,openflights
DFW,AEX,457.264,68.458,,openflights
HUS,FAI,325.918,58.848,,openflights
ACE,HAJ,3239.285,272.021,,openflights
BCN,CIA,876.388,99.126,,openflights
LHR,KWI,4674.743,377.054,,openflights
BHM,LGA,1392.628,136.900,,openflights
HKT,AUH,4974.203,398.966,,openflights
PLW,BPN,337.551,59.699,,openflights
LBS,SUV,193.936,49.190,,openflights
ISA,DRW,1296.964,129.900,,openflights
HIR,IRA,231.628,51.948,,openflights
HEL,OSL,767.287,91.143,,openflights
SAH,NBO,2032.345,183.708,,openflights
RTM,BJV,2441.222,213.626,,openflights
TPE,HIJ,1532.555,147.138,,openflights
ADD,FRA,5348.752,426.372,,openflights
DFW,PBI,1772.119,164.667,,openflights
WIL,LKG,672.802,84.229,,openflights
VCA,VCS,181.247,48.262,,openflights
SLC,GJT,347.580,60.433,,openflights
MMX,BMA,504.589,71.921,,openflights
YYZ,OPO,5642.232,447.846,,openflights
FKQ,MKW,300.142,56.962,,openflights
